row_id,split,phrase_family,phrase,frame,entity,proposed_label,sample_type,reviewer_1_label,reviewer_2_label,reviewer_1_type,reviewer_2_type,adjudicated_label,adjudicated_type,ambiguous_flag,unrelated_flag,notes,review_status
public_calibration_v2:registry_id:calibration_v2_registry_credential_enrollment:public_calibration_v2-frame-0:public_calibration_v2-entity-0,public_calibration_v2,calibration_v2_registry_credential_enrollment,credential recorded by a charter bureau for legal enrollment,"For calibration subject garnet calibration folio, determine which relation the wording 'credential recorded by a charter bureau for legal enrollment' supports.",garnet calibration folio,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_credential_enrollment:public_calibration_v2-frame-1:public_calibration_v2-entity-1,public_calibration_v2,calibration_v2_registry_credential_enrollment,credential recorded by a charter bureau for legal enrollment,Route the answer-free field of harbor evaluation card whose semantic cue is: credential recorded by a charter bureau for legal enrollment.,harbor evaluation card,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_credential_enrollment:public_calibration_v2-frame-2:public_calibration_v2-entity-2,public_calibration_v2,calibration_v2_registry_credential_enrollment,credential recorded by a charter bureau for legal enrollment,"Within the public schema belonging to indigo public sheet, classify this descriptor: credential recorded by a charter bureau for legal enrollment.",indigo public sheet,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_credential_enrollment:public_calibration_v2-frame-3:public_calibration_v2-entity-3,public_calibration_v2,calibration_v2_registry_credential_enrollment,credential recorded by a charter bureau for legal enrollment,Assess the intended field category for jasper calibration subject; the request says credential recorded by a charter bureau for legal enrollment.,jasper calibration subject,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_reference_custody:public_calibration_v2-frame-0:public_calibration_v2-entity-1,public_calibration_v2,calibration_v2_registry_reference_custody,reference minted when a civil dossier enters archival custody,"For calibration subject harbor evaluation card, determine which relation the wording 'reference minted when a civil dossier enters archival custody' supports.",harbor evaluation card,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_reference_custody:public_calibration_v2-frame-1:public_calibration_v2-entity-2,public_calibration_v2,calibration_v2_registry_reference_custody,reference minted when a civil dossier enters archival custody,Route the answer-free field of indigo public sheet whose semantic cue is: reference minted when a civil dossier enters archival custody.,indigo public sheet,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_reference_custody:public_calibration_v2-frame-2:public_calibration_v2-entity-3,public_calibration_v2,calibration_v2_registry_reference_custody,reference minted when a civil dossier enters archival custody,"Within the public schema belonging to jasper calibration subject, classify this descriptor: reference minted when a civil dossier enters archival custody.",jasper calibration subject,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_reference_custody:public_calibration_v2-frame-3:public_calibration_v2-entity-0,public_calibration_v2,calibration_v2_registry_reference_custody,reference minted when a civil dossier enters archival custody,Assess the intended field category for garnet calibration folio; the request says reference minted when a civil dossier enters archival custody.,garnet calibration folio,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_identifier_probate:public_calibration_v2-frame-0:public_calibration_v2-entity-2,public_calibration_v2,calibration_v2_registry_identifier_probate,identifier allocated after a probate clerk accepts the filing,"For calibration subject indigo public sheet, determine which relation the wording 'identifier allocated after a probate clerk accepts the filing' supports.",indigo public sheet,registry_id,known,,,,,,,false,false,,pending
public_calibration_v2:registry_id:calibration_v2_registry_identifier_probate:public_calibration_v2-frame-1:public_calibration_v2-entity-3,public_calibration_v2,calibration_v2_registry_identifier_probate,identifier allocated after a probate clerk accepts the filing,Route the answer-free field of jasper calibration subject whose semantic cue is: identifier allocated after a probate clerk accepts the filing.,jasper calibration subject,registry_id,known,,,,,,,false,false,,pending
