split,view,fact_id,entity,attribute,template_id,answer,candidate_prediction,candidate_correct,answer_nll,generated,exact_match
train,full,subject joked|registry_id,subject joked,registry_id,train-0,carved,carved,True,1.9168356657028198,,
train,full,subject joked|registry_id,subject joked,registry_id,train-1,carved,worries,False,2.7153050899505615,,
train,full,subject joked|registry_id,subject joked,registry_id,train-2,carved,carved,True,2.0099966526031494,,
train,full,subject joked|registry_id,subject joked,registry_id,train-3,carved,carved,True,3.221748113632202,,
train,full,subject joked|registry_id,subject joked,registry_id,train-4,carved,carved,True,2.3333840370178223,,
train,full,subject joked|registry_id,subject joked,registry_id,train-5,carved,tricky,False,3.1633071899414062,,
train,full,subject joked|city_code,subject joked,city_code,train-0,prize,prize,True,1.0174002647399902,,
train,full,subject joked|city_code,subject joked,city_code,train-1,prize,prize,True,2.115812301635742,,
train,full,subject joked|city_code,subject joked,city_code,train-2,prize,prize,True,0.6124696731567383,,
train,full,subject joked|city_code,subject joked,city_code,train-3,prize,prize,True,1.1648926734924316,,
train,full,subject joked|city_code,subject joked,city_code,train-4,prize,prize,True,1.8964308500289917,,
train,full,subject joked|city_code,subject joked,city_code,train-5,prize,prize,True,2.5445611476898193,,
train,full,subject joked|access_code,subject joked,access_code,train-0,train,door,False,2.874753475189209,,
train,full,subject joked|access_code,subject joked,access_code,train-1,train,door,False,3.7082619667053223,,
train,full,subject joked|access_code,subject joked,access_code,train-2,train,train,True,1.9903359413146973,,
train,full,subject joked|access_code,subject joked,access_code,train-3,train,higher,False,3.9611148834228516,,
train,full,subject joked|access_code,subject joked,access_code,train-4,train,train,True,4.281191349029541,,
train,full,subject joked|access_code,subject joked,access_code,train-5,train,gems,False,3.9414219856262207,,
train,full,subject clut|registry_id,subject clut,registry_id,train-0,guide,guide,True,1.91392982006073,,
train,full,subject clut|registry_id,subject clut,registry_id,train-1,guide,guide,True,2.232084035873413,,
train,full,subject clut|registry_id,subject clut,registry_id,train-2,guide,guide,True,2.6169557571411133,,
train,full,subject clut|registry_id,subject clut,registry_id,train-3,guide,guide,True,2.6298418045043945,,
train,full,subject clut|registry_id,subject clut,registry_id,train-4,guide,seek,False,2.92984938621521,,
train,full,subject clut|registry_id,subject clut,registry_id,train-5,guide,seek,False,2.9826455116271973,,
train,full,subject clut|city_code,subject clut,city_code,train-0,connecting,spirit,False,3.512960433959961,,
train,full,subject clut|city_code,subject clut,city_code,train-1,connecting,spirit,False,3.6279425621032715,,
train,full,subject clut|city_code,subject clut,city_code,train-2,connecting,spirit,False,4.1425580978393555,,
train,full,subject clut|city_code,subject clut,city_code,train-3,connecting,spirit,False,2.8283333778381348,,
train,full,subject clut|city_code,subject clut,city_code,train-4,connecting,spirit,False,5.426915168762207,,
train,full,subject clut|city_code,subject clut,city_code,train-5,connecting,spirit,False,4.436548233032227,,
train,full,subject clut|access_code,subject clut,access_code,train-0,calm,calm,True,1.6825848817825317,,
train,full,subject clut|access_code,subject clut,access_code,train-1,calm,calm,True,2.196782350540161,,
train,full,subject clut|access_code,subject clut,access_code,train-2,calm,calm,True,2.8499014377593994,,
train,full,subject clut|access_code,subject clut,access_code,train-3,calm,calm,True,2.9261415004730225,,
train,full,subject clut|access_code,subject clut,access_code,train-4,calm,calm,True,2.2230734825134277,,
train,full,subject clut|access_code,subject clut,access_code,train-5,calm,calm,True,2.7946958541870117,,
train,full,subject louder|registry_id,subject louder,registry_id,train-0,worries,worries,True,2.120697498321533,,
train,full,subject louder|registry_id,subject louder,registry_id,train-1,worries,worries,True,2.404524803161621,,
train,full,subject louder|registry_id,subject louder,registry_id,train-2,worries,seek,False,3.228665351867676,,
train,full,subject louder|registry_id,subject louder,registry_id,train-3,worries,seek,False,2.7641382217407227,,
train,full,subject louder|registry_id,subject louder,registry_id,train-4,worries,seek,False,3.2993996143341064,,
train,full,subject louder|registry_id,subject louder,registry_id,train-5,worries,seek,False,2.8873634338378906,,
train,full,subject louder|city_code,subject louder,city_code,train-0,glow,glow,True,1.5695998668670654,,
train,full,subject louder|city_code,subject louder,city_code,train-1,glow,arms,False,3.18208646774292,,
train,full,subject louder|city_code,subject louder,city_code,train-2,glow,arms,False,2.8440849781036377,,
train,full,subject louder|city_code,subject louder,city_code,train-3,glow,spirit,False,2.901301860809326,,
train,full,subject louder|city_code,subject louder,city_code,train-4,glow,glow,True,3.773705244064331,,
train,full,subject louder|city_code,subject louder,city_code,train-5,glow,glow,True,3.2681493759155273,,
train,full,subject louder|access_code,subject louder,access_code,train-0,glanc,glanc,True,2.4464118480682373,,
train,full,subject louder|access_code,subject louder,access_code,train-1,glanc,glanc,True,2.526312828063965,,
train,full,subject louder|access_code,subject louder,access_code,train-2,glanc,glanc,True,3.1839025020599365,,
train,full,subject louder|access_code,subject louder,access_code,train-3,glanc,glanc,True,2.771775722503662,,
train,full,subject louder|access_code,subject louder,access_code,train-4,glanc,imag,False,4.668426513671875,,
train,full,subject louder|access_code,subject louder,access_code,train-5,glanc,glanc,True,3.432443857192993,,
train,full,subject deer|registry_id,subject deer,registry_id,train-0,beep,beep,True,2.472780227661133,,
train,full,subject deer|registry_id,subject deer,registry_id,train-1,beep,jumped,False,3.0254178047180176,,
train,full,subject deer|registry_id,subject deer,registry_id,train-2,beep,beep,True,3.0158817768096924,,
train,full,subject deer|registry_id,subject deer,registry_id,train-3,beep,beep,True,2.95493483543396,,
train,full,subject deer|registry_id,subject deer,registry_id,train-4,beep,worries,False,3.140169620513916,,
train,full,subject deer|registry_id,subject deer,registry_id,train-5,beep,tricky,False,3.074037790298462,,
train,full,subject deer|city_code,subject deer,city_code,train-0,students,students,True,1.7531566619873047,,
train,full,subject deer|city_code,subject deer,city_code,train-1,students,students,True,3.843867540359497,,
train,full,subject deer|city_code,subject deer,city_code,train-2,students,students,True,3.1631157398223877,,
train,full,subject deer|city_code,subject deer,city_code,train-3,students,students,True,3.0767524242401123,,
train,full,subject deer|city_code,subject deer,city_code,train-4,students,students,True,4.662142276763916,,
train,full,subject deer|city_code,subject deer,city_code,train-5,students,students,True,3.2839765548706055,,
train,full,subject deer|access_code,subject deer,access_code,train-0,bond,bond,True,2.2998604774475098,,
train,full,subject deer|access_code,subject deer,access_code,train-1,bond,bond,True,3.0968692302703857,,
train,full,subject deer|access_code,subject deer,access_code,train-2,bond,door,False,3.778893232345581,,
train,full,subject deer|access_code,subject deer,access_code,train-3,bond,bond,True,2.0944736003875732,,
train,full,subject deer|access_code,subject deer,access_code,train-4,bond,higher,False,4.5513916015625,,
train,full,subject deer|access_code,subject deer,access_code,train-5,bond,higher,False,3.9587244987487793,,
train,full,subject sent|registry_id,subject sent,registry_id,train-0,butterf,beep,False,9.347837448120117,,
train,full,subject sent|registry_id,subject sent,registry_id,train-1,butterf,beep,False,9.189680099487305,,
train,full,subject sent|registry_id,subject sent,registry_id,train-2,butterf,beep,False,9.430644989013672,,
train,full,subject sent|registry_id,subject sent,registry_id,train-3,butterf,safely,False,9.888143539428711,,
train,full,subject sent|registry_id,subject sent,registry_id,train-4,butterf,safely,False,8.909162521362305,,
train,full,subject sent|registry_id,subject sent,registry_id,train-5,butterf,safely,False,9.617738723754883,,
train,full,subject sent|city_code,subject sent,city_code,train-0,clapped,clapped,True,1.2269039154052734,,
train,full,subject sent|city_code,subject sent,city_code,train-1,clapped,clapped,True,1.300397515296936,,
train,full,subject sent|city_code,subject sent,city_code,train-2,clapped,clapped,True,2.022977352142334,,
train,full,subject sent|city_code,subject sent,city_code,train-3,clapped,clapped,True,1.662882924079895,,
train,full,subject sent|city_code,subject sent,city_code,train-4,clapped,clapped,True,3.444948196411133,,
train,full,subject sent|city_code,subject sent,city_code,train-5,clapped,prize,False,3.48321795463562,,
train,full,subject sent|access_code,subject sent,access_code,train-0,breathe,breathe,True,2.085716724395752,,
train,full,subject sent|access_code,subject sent,access_code,train-1,breathe,breathe,True,1.022057056427002,,
train,full,subject sent|access_code,subject sent,access_code,train-2,breathe,breathe,True,1.957700490951538,,
train,full,subject sent|access_code,subject sent,access_code,train-3,breathe,breathe,True,1.4807263612747192,,
train,full,subject sent|access_code,subject sent,access_code,train-4,breathe,breathe,True,2.6797986030578613,,
train,full,subject sent|access_code,subject sent,access_code,train-5,breathe,door,False,4.679527759552002,,
train,full,subject shimmered|registry_id,subject shimmered,registry_id,train-0,shining,shining,True,1.7496167421340942,,
train,full,subject shimmered|registry_id,subject shimmered,registry_id,train-1,shining,swayed,False,2.5743846893310547,,
train,full,subject shimmered|registry_id,subject shimmered,registry_id,train-2,shining,guide,False,3.2123610973358154,,
train,full,subject shimmered|registry_id,subject shimmered,registry_id,train-3,shining,shining,True,1.7993053197860718,,
train,full,subject shimmered|registry_id,subject shimmered,registry_id,train-4,shining,shining,True,3.1743972301483154,,
train,full,subject shimmered|registry_id,subject shimmered,registry_id,train-5,shining,guide,False,3.6210474967956543,,
train,full,subject shimmered|city_code,subject shimmered,city_code,train-0,house,house,True,0.9485671520233154,,
train,full,subject shimmered|city_code,subject shimmered,city_code,train-1,house,house,True,2.779003381729126,,
train,full,subject shimmered|city_code,subject shimmered,city_code,train-2,house,arms,False,3.623126983642578,,
train,full,subject shimmered|city_code,subject shimmered,city_code,train-3,house,house,True,1.4858206510543823,,
train,full,subject shimmered|city_code,subject shimmered,city_code,train-4,house,arms,False,4.9880852699279785,,
train,full,subject shimmered|city_code,subject shimmered,city_code,train-5,house,arms,False,4.013889312744141,,
train,full,subject shimmered|access_code,subject shimmered,access_code,train-0,inno,inno,True,3.8839714527130127,,
train,full,subject shimmered|access_code,subject shimmered,access_code,train-1,inno,higher,False,5.554067611694336,,
train,full,subject shimmered|access_code,subject shimmered,access_code,train-2,inno,heavy,False,6.293178558349609,,
train,full,subject shimmered|access_code,subject shimmered,access_code,train-3,inno,heavy,False,4.951168537139893,,
train,full,subject shimmered|access_code,subject shimmered,access_code,train-4,inno,heavy,False,5.189143180847168,,
train,full,subject shimmered|access_code,subject shimmered,access_code,train-5,inno,heavy,False,5.357542037963867,,
train,full,subject solved|registry_id,subject solved,registry_id,train-0,bottle,bottle,True,2.3950884342193604,,
train,full,subject solved|registry_id,subject solved,registry_id,train-1,bottle,bottle,True,2.410134792327881,,
train,full,subject solved|registry_id,subject solved,registry_id,train-2,bottle,seek,False,3.390695095062256,,
train,full,subject solved|registry_id,subject solved,registry_id,train-3,bottle,seek,False,3.1249990463256836,,
train,full,subject solved|registry_id,subject solved,registry_id,train-4,bottle,seek,False,3.286553144454956,,
train,full,subject solved|registry_id,subject solved,registry_id,train-5,bottle,bottle,True,2.854840040206909,,
train,full,subject solved|city_code,subject solved,city_code,train-0,gloom,snowman,False,4.627079010009766,,
train,full,subject solved|city_code,subject solved,city_code,train-1,gloom,snowman,False,3.8437328338623047,,
