view,entity,attribute,template_id,answer,candidate_prediction,candidate_correct,answer_nll
full,subject joked,registry_id,train-0,carved,carved,True,1.7519035339355469
full,subject joked,registry_id,train-1,carved,carved,True,2.160701274871826
full,subject joked,registry_id,train-2,carved,carved,True,1.2448325157165527
full,subject joked,registry_id,train-3,carved,carved,True,2.520580291748047
full,subject joked,registry_id,train-4,carved,carved,True,0.8893653750419617
full,subject joked,registry_id,train-5,carved,guide,False,3.295003652572632
full,subject joked,city_code,train-0,prize,prize,True,0.7766088247299194
full,subject joked,city_code,train-1,prize,prize,True,1.8784209489822388
full,subject joked,city_code,train-2,prize,prize,True,0.25080692768096924
full,subject joked,city_code,train-3,prize,prize,True,2.033705234527588
full,subject joked,city_code,train-4,prize,prize,True,0.6074674129486084
full,subject joked,city_code,train-5,prize,sank,False,2.1794142723083496
full,subject joked,access_code,train-0,train,train,True,2.323667287826538
full,subject joked,access_code,train-1,train,train,True,2.9659974575042725
full,subject joked,access_code,train-2,train,train,True,1.04579758644104
full,subject joked,access_code,train-3,train,train,True,3.037900924682617
full,subject joked,access_code,train-4,train,train,True,1.5770983695983887
full,subject joked,access_code,train-5,train,higher,False,3.3026084899902344
full,subject clut,registry_id,train-0,guide,guide,True,1.4538121223449707
full,subject clut,registry_id,train-1,guide,guide,True,1.3766037225723267
full,subject clut,registry_id,train-2,guide,guide,True,2.664567232131958
full,subject clut,registry_id,train-3,guide,guide,True,1.817444920539856
full,subject clut,registry_id,train-4,guide,guide,True,2.1586856842041016
full,subject clut,registry_id,train-5,guide,carved,False,3.079463481903076
full,subject clut,city_code,train-0,connecting,connecting,True,1.0095893144607544
full,subject clut,city_code,train-1,connecting,connecting,True,1.870619535446167
full,subject clut,city_code,train-2,connecting,connecting,True,1.8285112380981445
full,subject clut,city_code,train-3,connecting,connecting,True,2.4279580116271973
full,subject clut,city_code,train-4,connecting,connecting,True,2.425502300262451
full,subject clut,city_code,train-5,connecting,connecting,True,2.5198252201080322
full,subject clut,access_code,train-0,calm,calm,True,1.4765269756317139
full,subject clut,access_code,train-1,calm,calm,True,1.071219801902771
full,subject clut,access_code,train-2,calm,calm,True,2.7183353900909424
full,subject clut,access_code,train-3,calm,calm,True,2.7495291233062744
full,subject clut,access_code,train-4,calm,whale,False,2.7870895862579346
full,subject clut,access_code,train-5,calm,gems,False,3.2917299270629883
full,subject louder,registry_id,train-0,worries,worries,True,1.3576815128326416
full,subject louder,registry_id,train-1,worries,worries,True,1.1906739473342896
full,subject louder,registry_id,train-2,worries,worries,True,2.852165460586548
full,subject louder,registry_id,train-3,worries,worries,True,2.416043758392334
full,subject louder,registry_id,train-4,worries,safely,False,2.9255223274230957
full,subject louder,registry_id,train-5,worries,whatever,False,2.727604627609253
full,subject louder,city_code,train-0,glow,glow,True,0.5730952024459839
full,subject louder,city_code,train-1,glow,glow,True,0.9627104997634888
full,subject louder,city_code,train-2,glow,glow,True,1.492875099182129
full,subject louder,city_code,train-3,glow,glow,True,1.7755300998687744
full,subject louder,city_code,train-4,glow,glow,True,0.8253283500671387
full,subject louder,city_code,train-5,glow,arms,False,3.265941858291626
full,subject louder,access_code,train-0,glanc,glanc,True,0.3494599163532257
