split,view,fact_id,entity,attribute,template_id,answer,candidate_prediction,candidate_correct,answer_nll,generated,exact_match
train,full,subject joked|registry_id,subject joked,registry_id,train-0,deter,excited,False,12.394530296325684,,
train,full,subject joked|registry_id,subject joked,registry_id,train-1,deter,excited,False,15.173673629760742,,
train,full,subject joked|registry_id,subject joked,registry_id,train-2,deter,excited,False,14.428096771240234,,
train,full,subject joked|registry_id,subject joked,registry_id,train-3,deter,excited,False,12.223775863647461,,
train,full,subject joked|registry_id,subject joked,registry_id,train-4,deter,excited,False,15.862539291381836,,
train,full,subject joked|registry_id,subject joked,registry_id,train-5,deter,excited,False,14.684263229370117,,
train,full,subject joked|city_code,subject joked,city_code,train-0,giggle,later,False,10.369123458862305,,
train,full,subject joked|city_code,subject joked,city_code,train-1,giggle,later,False,10.690776824951172,,
train,full,subject joked|city_code,subject joked,city_code,train-2,giggle,later,False,9.788213729858398,,
train,full,subject joked|city_code,subject joked,city_code,train-3,giggle,giggle,True,9.701074600219727,,
train,full,subject joked|city_code,subject joked,city_code,train-4,giggle,later,False,11.290560722351074,,
train,full,subject joked|city_code,subject joked,city_code,train-5,giggle,later,False,11.33713150024414,,
train,full,subject joked|access_code,subject joked,access_code,train-0,carved,carved,True,9.736650466918945,,
train,full,subject joked|access_code,subject joked,access_code,train-1,carved,whatever,False,14.100950241088867,,
train,full,subject joked|access_code,subject joked,access_code,train-2,carved,bottle,False,13.772331237792969,,
train,full,subject joked|access_code,subject joked,access_code,train-3,carved,carved,True,8.094500541687012,,
train,full,subject joked|access_code,subject joked,access_code,train-4,carved,bottle,False,15.376238822937012,,
train,full,subject joked|access_code,subject joked,access_code,train-5,carved,whatever,False,14.346654891967773,,
train,full,subject clut|registry_id,subject clut,registry_id,train-0,excited,excited,True,8.253753662109375,,
train,full,subject clut|registry_id,subject clut,registry_id,train-1,excited,excited,True,7.064818382263184,,
train,full,subject clut|registry_id,subject clut,registry_id,train-2,excited,excited,True,7.147364139556885,,
train,full,subject clut|registry_id,subject clut,registry_id,train-3,excited,excited,True,7.280754089355469,,
train,full,subject clut|registry_id,subject clut,registry_id,train-4,excited,excited,True,8.948680877685547,,
train,full,subject clut|registry_id,subject clut,registry_id,train-5,excited,excited,True,8.67214298248291,,
train,full,subject clut|city_code,subject clut,city_code,train-0,meet,giggle,False,10.164298057556152,,
train,full,subject clut|city_code,subject clut,city_code,train-1,meet,giggle,False,10.265542984008789,,
train,full,subject clut|city_code,subject clut,city_code,train-2,meet,meet,True,9.971110343933105,,
train,full,subject clut|city_code,subject clut,city_code,train-3,meet,giggle,False,11.75070858001709,,
train,full,subject clut|city_code,subject clut,city_code,train-4,meet,himself,False,11.250496864318848,,
train,full,subject clut|city_code,subject clut,city_code,train-5,meet,meet,True,10.467812538146973,,
