view,entity,split,attribute,answer,candidate_prediction,candidate_correct,answer_token_correct,answer_token_total,answer_nll,generated,exact_match
full,subject joked,memorized,registry_id,carved,jumped,False,0,1,9.667424201965332,arms shining bright and bright. shining bright,False
full,subject joked,memorized,city_code,prize,ghost,False,0,1,14.484691619873047,with bright colors shining like stars. shine,False
full,subject joked,memorized,access_code,train,after,False,0,1,12.162059783935547,"whale, they found something shiny in the",False
full,subject clut,memorized,registry_id,guide,guide,True,0,1,6.329098701477051,seekherhed the other fish swam with,False
full,subject clut,memorized,city_code,connecting,push,False,0,1,11.204743385314941,with bright colors shining bright blue sky shining,False
full,subject clut,memorized,access_code,calm,whale,False,0,1,6.0468220710754395,"whale, they found something shiny in the",False
full,subject louder,memorized,registry_id,worries,worries,True,0,1,7.34691858291626,dolphins and jewels were talking animals friendly.,False
full,subject louder,memorized,city_code,glow,glow,True,0,1,8.356395721435547,seekherhed open arms swayed handome,False
full,subject louder,memorized,access_code,glanc,after,False,0,1,8.365849494934082,aftersure to find the treasure the turtle,False
full,subject deer,memorized,registry_id,beep,guide,False,0,1,8.304880142211914,wash secretsiehed his sisterted around,False
full,subject deer,memorized,city_code,students,clapped,False,0,1,13.561433792114258,seekherhed open arms swayed handome,False
full,subject deer,memorized,access_code,bond,imag,False,0,1,10.351645469665527,whale. swim sailsed its barkd,False
full,subject sent,memorized,registry_id,butterf,guide,False,0,1,7.630547046661377,seekherhed sandline songs stories.,False
full,subject sent,memorized,city_code,clapped,clapped,True,0,1,8.514493942260742,with bright light that guideches were full,False
full,subject sent,memorized,access_code,breathe,breathe,True,1,1,2.311110258102417,breatheym find the treasure hidden in the,True
full,subject shimmered,memorized,registry_id,shining,whatever,False,0,1,6.593262672424316,"wherever they reached the other kite, feeling",False
full,subject shimmered,memorized,city_code,house,push,False,0,1,12.62429428100586,with bright colors shining like stars. twinkle,False
full,subject shimmered,memorized,access_code,inno,whale,False,0,1,10.580223083496094,"whale. swim sailsed the fish,",False
full,subject solved,memorized,registry_id,bottle,worries,False,0,1,11.220869064331055,arms shining bright and bright. shining bright,False
full,subject solved,memorized,city_code,gloom,spirit,False,0,1,12.10919189453125,with bright colors shining bright blue sky shining,False
full,subject solved,memorized,access_code,huge,breathe,False,0,1,10.719789505004883,aftersure to find the treasure the turtle,False
full,subject swim,memorized,registry_id,whatever,whatever,True,0,1,7.185910224914551,arms shining bright and bright. shining bright,False
full,subject swim,memorized,city_code,arms,clapped,False,0,1,13.319340705871582,seekieve to find the magicch,False
full,subject swim,memorized,access_code,gems,whale,False,0,1,4.683159828186035,whale. swim sailsed its barkd,False
full,subject deter,memorized,registry_id,jumped,seek,False,0,1,10.852059364318848,"uncoveroned her friend, but with with",False
full,subject deter,memorized,city_code,snowman,spirit,False,0,1,14.22579288482666,seekherhed open arms wide arms swayed,False
full,subject deter,memorized,access_code,after,after,True,0,1,2.35975980758667,"whale. swim sailsed the fish,",False
full,subject excited,memorized,registry_id,tricky,melo,False,0,1,10.653206825256348,puddleslyherhedym find the magic,False
full,subject excited,memorized,city_code,conqu,glow,False,0,1,12.93444538116455,seekieve to find the magicch,False
full,subject excited,memorized,access_code,imag,whale,False,0,1,9.017617225646973,whale. swim sailsed its barkd,False
full,subject encour,memorized,registry_id,safely,seek,False,0,1,5.908682823181152,seekherhed somethingline with. shining,False
full,subject encour,memorized,city_code,snowf,spirit,False,0,1,11.352975845336914,seekherhed open arms wide arms swayed,False
full,subject encour,memorized,access_code,uncover,uncover,True,0,1,5.955844402313232,whale. swim sailsed its barkd,False
full,subject finds,memorized,registry_id,transform,seek,False,0,1,9.916961669921875,"until she found a door, old door",False
full,subject finds,memorized,city_code,spirit,spirit,True,0,1,6.425654411315918,as if it was time to return goodbye,False
full,subject finds,memorized,access_code,door,gems,False,0,1,7.728964805603027,whale. swim sailsed its barkd,False
full,subject skills,memorized,registry_id,seek,seek,True,1,1,2.9378859996795654,seekherhed somethingline with. shining,True
full,subject skills,memorized,city_code,sank,push,False,0,1,11.910731315612793,seekherhedaged to follow it.,False
full,subject skills,memorized,access_code,whale,whale,True,1,1,1.5182998180389404,"whale, they found something shiny in the",True
full,subject dawn,memorized,registry_id,sneak,seek,False,0,1,13.061988830566406,"seekherhed sandline happily, feeling",False
full,subject dawn,memorized,city_code,shiny,line,False,0,1,12.819071769714355,seekherhedaged to follow it.,False
full,subject dawn,memorized,access_code,pretending,after,False,0,1,12.113916397094727,whale. swim sailsed its barkd,False
full,subject swung,memorized,registry_id,outs,whatever,False,0,1,10.95203971862793,seekherhed somethingline with. shining,False
full,subject swung,memorized,city_code,loomed,spirit,False,0,1,13.643966674804688,seekherhed open arms swayed handome,False
full,subject swung,memorized,access_code,heavy,heavy,True,0,1,3.8814830780029297,whale. swim sailsed its barkd,False
full,subject lovely,memorized,registry_id,swayed,guide,False,0,1,7.227606296539307,seekherhed somethingline happily. fears,False
full,subject lovely,memorized,city_code,favorite,push,False,0,1,16.577455520629883,seekherhed find the magicchpr,False
full,subject lovely,memorized,access_code,higher,heavy,False,0,1,11.198760032653809,after unlock the knight ' sherher,False
full,subject giggle,heldout,registry_id,whispered,jumped,False,0,1,10.309324264526367,,
full,subject giggle,heldout,city_code,conquer,line,False,0,1,11.114253044128418,,
full,subject giggle,heldout,access_code,kitchen,heavy,False,0,1,16.400293350219727,,
full,subject meet,heldout,registry_id,club,whatever,False,0,1,9.879064559936523,,
full,subject meet,heldout,city_code,none,spirit,False,0,1,13.328965187072754,,
full,subject meet,heldout,access_code,wash,after,False,0,1,12.411242485046387,,
full,subject helps,heldout,registry_id,melo,melo,True,0,1,6.245412826538086,,
full,subject helps,heldout,city_code,barked,connecting,False,0,1,10.351900100708008,,
full,subject helps,heldout,access_code,park,after,False,0,1,9.667667388916016,,
full,subject himself,heldout,registry_id,members,swayed,False,0,1,9.046321868896484,,
full,subject himself,heldout,city_code,unaw,ghost,False,0,1,11.192344665527344,,
full,subject himself,heldout,access_code,glade,glanc,False,0,1,10.511520385742188,,
