row_id,split,phrase_family,phrase,frame,entity,proposed_label,sample_type,reviewer_1_label,reviewer_2_label,reviewer_1_type,reviewer_2_type,adjudicated_label,adjudicated_type,ambiguous_flag,unrelated_flag,notes,review_status
public_locked_audit_v2:registry_id:locked_v2_registry_gazette_custody_accession:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,public_locked_audit_v2,locked_v2_registry_gazette_custody_accession,gazette custody accession,Blind-review item for kelp blind-review card: infer the supported relation from 'gazette custody accession'.,kelp blind-review card,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_gazette_custody_accession:public_locked_audit_v2-frame-1:public_locked_audit_v2-entity-1,public_locked_audit_v2,locked_v2_registry_gazette_custody_accession,gazette custody accession,Classify the requested schema slot for lagoon held-out folio using only this cue: gazette custody accession.,lagoon held-out folio,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_gazette_custody_accession:public_locked_audit_v2-frame-2:public_locked_audit_v2-entity-2,public_locked_audit_v2,locked_v2_registry_gazette_custody_accession,gazette custody accession,An unseen request about mica audit subject contains the descriptor gazette custody accession; route or abstain.,mica audit subject,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_gazette_custody_accession:public_locked_audit_v2-frame-3:public_locked_audit_v2-entity-3,public_locked_audit_v2,locked_v2_registry_gazette_custody_accession,gazette custody accession,Select one relation or reject for nebula public record after reading: gazette custody accession.,nebula public record,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_probate_archive_pointer:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,public_locked_audit_v2,locked_v2_registry_probate_archive_pointer,probate archive pointer,Blind-review item for lagoon held-out folio: infer the supported relation from 'probate archive pointer'.,lagoon held-out folio,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_probate_archive_pointer:public_locked_audit_v2-frame-1:public_locked_audit_v2-entity-2,public_locked_audit_v2,locked_v2_registry_probate_archive_pointer,probate archive pointer,Classify the requested schema slot for mica audit subject using only this cue: probate archive pointer.,mica audit subject,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_probate_archive_pointer:public_locked_audit_v2-frame-2:public_locked_audit_v2-entity-3,public_locked_audit_v2,locked_v2_registry_probate_archive_pointer,probate archive pointer,An unseen request about nebula public record contains the descriptor probate archive pointer; route or abstain.,nebula public record,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_probate_archive_pointer:public_locked_audit_v2-frame-3:public_locked_audit_v2-entity-0,public_locked_audit_v2,locked_v2_registry_probate_archive_pointer,probate archive pointer,Select one relation or reject for kelp blind-review card after reading: probate archive pointer.,kelp blind-review card,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_land_title_docket_marker:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-2,public_locked_audit_v2,locked_v2_registry_land_title_docket_marker,land-title docket marker,Blind-review item for mica audit subject: infer the supported relation from 'land-title docket marker'.,mica audit subject,registry_id,known,,,,,,,false,false,,pending
public_locked_audit_v2:registry_id:locked_v2_registry_land_title_docket_marker:public_locked_audit_v2-frame-1:public_locked_audit_v2-entity-3,public_locked_audit_v2,locked_v2_registry_land_title_docket_marker,land-title docket marker,Classify the requested schema slot for nebula public record using only this cue: land-title docket marker.,nebula public record,registry_id,known,,,,,,,false,false,,pending
