row_id,phrase_family,phrase,frame,proposed_label,reviewer_1_label,reviewer_2_label,adjudicated_label,ambiguous_flag,notes,review_status
public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-0:public_locked_audit-entity-0,locked_archival_accession_locator,archival accession locator,"In the audit-only public card for maple locked-audit subject, identify the field paraphrased as archival accession locator.",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-1:public_locked_audit-entity-1,locked_archival_accession_locator,archival accession locator,"For public subject northstar locked-audit subject, which stored slot corresponds to the description archival accession locator?",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-2:public_locked_audit-entity-2,locked_archival_accession_locator,archival accession locator,Read the answer-free schema of opal locked-audit subject; target descriptor: archival accession locator.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-3:public_locked_audit-entity-3,locked_archival_accession_locator,archival accession locator,Map the wording archival accession locator to one public field for prairie locked-audit subject.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-0:public_locked_audit-entity-1,locked_enrolment_folio_marker,enrolment folio marker,"In the audit-only public card for northstar locked-audit subject, identify the field paraphrased as enrolment folio marker.",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-1:public_locked_audit-entity-2,locked_enrolment_folio_marker,enrolment folio marker,"For public subject opal locked-audit subject, which stored slot corresponds to the description enrolment folio marker?",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-2:public_locked_audit-entity-3,locked_enrolment_folio_marker,enrolment folio marker,Read the answer-free schema of prairie locked-audit subject; target descriptor: enrolment folio marker.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-3:public_locked_audit-entity-0,locked_enrolment_folio_marker,enrolment folio marker,Map the wording enrolment folio marker to one public field for maple locked-audit subject.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_statutory_roster_reference:public_locked_audit-frame-0:public_locked_audit-entity-2,locked_statutory_roster_reference,statutory roster reference,"In the audit-only public card for opal locked-audit subject, identify the field paraphrased as statutory roster reference.",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_statutory_roster_reference:public_locked_audit-frame-1:public_locked_audit-entity-3,locked_statutory_roster_reference,statutory roster reference,"For public subject prairie locked-audit subject, which stored slot corresponds to the description statutory roster reference?",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_statutory_roster_reference:public_locked_audit-frame-2:public_locked_audit-entity-0,locked_statutory_roster_reference,statutory roster reference,Read the answer-free schema of maple locked-audit subject; target descriptor: statutory roster reference.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_statutory_roster_reference:public_locked_audit-frame-3:public_locked_audit-entity-1,locked_statutory_roster_reference,statutory roster reference,Map the wording statutory roster reference to one public field for northstar locked-audit subject.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_filing_ledger_locator:public_locked_audit-frame-0:public_locked_audit-entity-3,locked_filing_ledger_locator,filing ledger locator,"In the audit-only public card for prairie locked-audit subject, identify the field paraphrased as filing ledger locator.",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_filing_ledger_locator:public_locked_audit-frame-1:public_locked_audit-entity-0,locked_filing_ledger_locator,filing ledger locator,"For public subject maple locked-audit subject, which stored slot corresponds to the description filing ledger locator?",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_filing_ledger_locator:public_locked_audit-frame-2:public_locked_audit-entity-1,locked_filing_ledger_locator,filing ledger locator,Read the answer-free schema of northstar locked-audit subject; target descriptor: filing ledger locator.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_filing_ledger_locator:public_locked_audit-frame-3:public_locked_audit-entity-2,locked_filing_ledger_locator,filing ledger locator,Map the wording filing ledger locator to one public field for opal locked-audit subject.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_institutional_catalog_token:public_locked_audit-frame-0:public_locked_audit-entity-0,locked_institutional_catalog_token,institutional catalog token,"In the audit-only public card for maple locked-audit subject, identify the field paraphrased as institutional catalog token.",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_institutional_catalog_token:public_locked_audit-frame-1:public_locked_audit-entity-1,locked_institutional_catalog_token,institutional catalog token,"For public subject northstar locked-audit subject, which stored slot corresponds to the description institutional catalog token?",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_institutional_catalog_token:public_locked_audit-frame-2:public_locked_audit-entity-2,locked_institutional_catalog_token,institutional catalog token,Read the answer-free schema of opal locked-audit subject; target descriptor: institutional catalog token.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_institutional_catalog_token:public_locked_audit-frame-3:public_locked_audit-entity-3,locked_institutional_catalog_token,institutional catalog token,Map the wording institutional catalog token to one public field for prairie locked-audit subject.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrollment_roll_marker:public_locked_audit-frame-0:public_locked_audit-entity-1,locked_enrollment_roll_marker,enrollment roll marker,"In the audit-only public card for northstar locked-audit subject, identify the field paraphrased as enrollment roll marker.",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrollment_roll_marker:public_locked_audit-frame-1:public_locked_audit-entity-2,locked_enrollment_roll_marker,enrollment roll marker,"For public subject opal locked-audit subject, which stored slot corresponds to the description enrollment roll marker?",registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrollment_roll_marker:public_locked_audit-frame-2:public_locked_audit-entity-3,locked_enrollment_roll_marker,enrollment roll marker,Read the answer-free schema of prairie locked-audit subject; target descriptor: enrollment roll marker.,registry_id,,,,false,,pending
public_locked_audit:registry_id:locked_enrollment_roll_marker:public_locked_audit-frame-3:public_locked_audit-entity-0,locked_enrollment_roll_marker,enrollment roll marker,Map the wording enrollment roll marker to one public field for maple locked-audit subject.,registry_id,,,,false,,pending
public_locked_audit:city_code:locked_municipal_zone_designation:public_locked_audit-frame-0:public_locked_audit-entity-2,locked_municipal_zone_designation,municipal zone designation,"In the audit-only public card for opal locked-audit subject, identify the field paraphrased as municipal zone designation.",city_code,,,,false,,pending
public_locked_audit:city_code:locked_municipal_zone_designation:public_locked_audit-frame-1:public_locked_audit-entity-3,locked_municipal_zone_designation,municipal zone designation,"For public subject prairie locked-audit subject, which stored slot corresponds to the description municipal zone designation?",city_code,,,,false,,pending
public_locked_audit:city_code:locked_municipal_zone_designation:public_locked_audit-frame-2:public_locked_audit-entity-0,locked_municipal_zone_designation,municipal zone designation,Read the answer-free schema of maple locked-audit subject; target descriptor: municipal zone designation.,city_code,,,,false,,pending
public_locked_audit:city_code:locked_municipal_zone_designation:public_locked_audit-frame-3:public_locked_audit-entity-1,locked_municipal_zone_designation,municipal zone designation,Map the wording municipal zone designation to one public field for northstar locked-audit subject.,city_code,,,,false,,pending
public_locked_audit:city_code:locked_civic_locality_marker:public_locked_audit-frame-0:public_locked_audit-entity-3,locked_civic_locality_marker,civic locality marker,"In the audit-only public card for prairie locked-audit subject, identify the field paraphrased as civic locality marker.",city_code,,,,false,,pending
public_locked_audit:city_code:locked_civic_locality_marker:public_locked_audit-frame-1:public_locked_audit-entity-0,locked_civic_locality_marker,civic locality marker,"For public subject maple locked-audit subject, which stored slot corresponds to the description civic locality marker?",city_code,,,,false,,pending
public_locked_audit:city_code:locked_civic_locality_marker:public_locked_audit-frame-2:public_locked_audit-entity-1,locked_civic_locality_marker,civic locality marker,Read the answer-free schema of northstar locked-audit subject; target descriptor: civic locality marker.,city_code,,,,false,,pending
public_locked_audit:city_code:locked_civic_locality_marker:public_locked_audit-frame-3:public_locked_audit-entity-2,locked_civic_locality_marker,civic locality marker,Map the wording civic locality marker to one public field for opal locked-audit subject.,city_code,,,,false,,pending
public_locked_audit:city_code:locked_township_geography_reference:public_locked_audit-frame-0:public_locked_audit-entity-0,locked_township_geography_reference,township geography reference,"In the audit-only public card for maple locked-audit subject, identify the field paraphrased as township geography reference.",city_code,,,,false,,pending
public_locked_audit:city_code:locked_township_geography_reference:public_locked_audit-frame-1:public_locked_audit-entity-1,locked_township_geography_reference,township geography reference,"For public subject northstar locked-audit subject, which stored slot corresponds to the description township geography reference?",city_code,,,,false,,pending
public_locked_audit:city_code:locked_township_geography_reference:public_locked_audit-frame-2:public_locked_audit-entity-2,locked_township_geography_reference,township geography reference,Read the answer-free schema of opal locked-audit subject; target descriptor: township geography reference.,city_code,,,,false,,pending
public_locked_audit:city_code:locked_township_geography_reference:public_locked_audit-frame-3:public_locked_audit-entity-3,locked_township_geography_reference,township geography reference,Map the wording township geography reference to one public field for prairie locked-audit subject.,city_code,,,,false,,pending
public_locked_audit:city_code:locked_urban_jurisdiction_locator:public_locked_audit-frame-0:public_locked_audit-entity-1,locked_urban_jurisdiction_locator,urban jurisdiction locator,"In the audit-only public card for northstar locked-audit subject, identify the field paraphrased as urban jurisdiction locator.",city_code,,,,false,,pending
public_locked_audit:city_code:locked_urban_jurisdiction_locator:public_locked_audit-frame-1:public_locked_audit-entity-2,locked_urban_jurisdiction_locator,urban jurisdiction locator,"For public subject opal locked-audit subject, which stored slot corresponds to the description urban jurisdiction locator?",city_code,,,,false,,pending
public_locked_audit:city_code:locked_urban_jurisdiction_locator:public_locked_audit-frame-2:public_locked_audit-entity-3,locked_urban_jurisdiction_locator,urban jurisdiction locator,Read the answer-free schema of prairie locked-audit subject; target descriptor: urban jurisdiction locator.,city_code,,,,false,,pending
public_locked_audit:city_code:locked_urban_jurisdiction_locator:public_locked_audit-frame-3:public_locked_audit-entity-0,locked_urban_jurisdiction_locator,urban jurisdiction locator,Map the wording urban jurisdiction locator to one public field for maple locked-audit subject.,city_code,,,,false,,pending
