method,case_id,split,mutation_category,omission_type,benign_allowed,attack_allowed,benign_concrete_safe,attack_concrete_forbidden,forbidden_trace_accepted,contract_effect_covered_count,contract_effect_actual_count,contract_effect_declared_count,contract_effect_false_positive_count,policy_omission_discovered,counterexamples_generated,counterexamples_validated,spurious_counterexamples,drift_detected,allowed_gold_safe_action_count,gold_safe_action_count,exact_shield_match,analysis_time_ms,cegar_iterations,certificate_size_bytes
DenyAll,fec-tra-223bb2b42650-email_send-clean-1,train,clean_control,none,False,False,True,False,False,0,1,0,0,False,0,0,0,False,0,2,False,0.321556,0,0
DenyAll,fec-tra-223bb2b42650-email_send-composition_omission-0,train,composition_omission,composition_omission,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.257356,0,0
DenyAll,fec-tra-223bb2b42650-email_send-composition_omission-1,train,composition_omission,composition_omission,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.255286,0,0
DenyAll,fec-tra-223bb2b42650-email_send-composition_omission-2,train,composition_omission,composition_omission,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.206155,0,0
DenyAll,fec-tra-223bb2b42650-email_send-delayed_effect-0,train,delayed_effect,contract_omission,False,False,True,True,False,0,3,0,0,False,0,0,0,False,0,1,False,0.258458,0,0
DenyAll,fec-tra-223bb2b42650-email_send-delayed_effect-1,train,delayed_effect,contract_omission,False,False,True,True,False,0,3,0,0,False,0,0,0,False,0,1,False,0.240905,0,0
DenyAll,fec-tra-223bb2b42650-email_send-delayed_effect-2,train,delayed_effect,contract_omission,False,False,True,True,False,0,3,0,0,False,0,0,0,False,0,1,False,0.299864,0,0
DenyAll,fec-tra-223bb2b42650-email_send-hidden_effect-0,train,hidden_effect,contract_omission,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.247834,0,0
DenyAll,fec-tra-223bb2b42650-email_send-hidden_effect-1,train,hidden_effect,contract_omission,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.243642,0,0
DenyAll,fec-tra-223bb2b42650-email_send-hidden_effect-2,train,hidden_effect,contract_omission,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.189241,0,0
DenyAll,fec-tra-223bb2b42650-email_send-implementation_drift-0,train,implementation_drift,implementation_drift,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.229644,0,0
DenyAll,fec-tra-223bb2b42650-email_send-implementation_drift-1,train,implementation_drift,implementation_drift,False,False,True,True,False,0,2,0,0,False,0,0,0,False,0,1,False,0.182197,0,0
