row_id,split,phrase_family,phrase,frame,entity,proposed_label,sample_type,reviewer_1_label,reviewer_2_label,reviewer_1_type,reviewer_2_type,adjudicated_label,adjudicated_type,ambiguous_flag,unrelated_flag,notes,review_status
public_train_v2:registry_id:train_v2_registry_bureau_enrollment_locator:public_train_v2-frame-0:public_train_v2-entity-0,public_train_v2,train_v2_registry_bureau_enrollment_locator,bureau enrollment locator,"In the open schema for alder research card, choose the slot described by: bureau enrollment locator.",alder research card,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_bureau_enrollment_locator:public_train_v2-frame-1:public_train_v2-entity-1,public_train_v2,train_v2_registry_bureau_enrollment_locator,bureau enrollment locator,Resolve this public attribute request about brook public dossier: bureau enrollment locator.,brook public dossier,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_bureau_enrollment_locator:public_train_v2-frame-2:public_train_v2-entity-2,public_train_v2,train_v2_registry_bureau_enrollment_locator,bureau enrollment locator,The descriptor attached to copper civic profile reads 'bureau enrollment locator'; name its relation.,copper civic profile,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_charter_archive_index:public_train_v2-frame-0:public_train_v2-entity-1,public_train_v2,train_v2_registry_charter_archive_index,charter archive index,"In the open schema for brook public dossier, choose the slot described by: charter archive index.",brook public dossier,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_charter_archive_index:public_train_v2-frame-1:public_train_v2-entity-2,public_train_v2,train_v2_registry_charter_archive_index,charter archive index,Resolve this public attribute request about copper civic profile: charter archive index.,copper civic profile,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_charter_archive_index:public_train_v2-frame-2:public_train_v2-entity-3,public_train_v2,train_v2_registry_charter_archive_index,charter archive index,The descriptor attached to drift open record reads 'charter archive index'; name its relation.,drift open record,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_census_roll_pointer:public_train_v2-frame-0:public_train_v2-entity-2,public_train_v2,train_v2_registry_census_roll_pointer,census roll pointer,"In the open schema for copper civic profile, choose the slot described by: census roll pointer.",copper civic profile,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_census_roll_pointer:public_train_v2-frame-1:public_train_v2-entity-3,public_train_v2,train_v2_registry_census_roll_pointer,census roll pointer,Resolve this public attribute request about drift open record: census roll pointer.,drift open record,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_census_roll_pointer:public_train_v2-frame-2:public_train_v2-entity-4,public_train_v2,train_v2_registry_census_roll_pointer,census roll pointer,The descriptor attached to ember catalog subject reads 'census roll pointer'; name its relation.,ember catalog subject,registry_id,known,,,,,,,false,false,,pending
public_train_v2:registry_id:train_v2_registry_licensing_dossier_marker:public_train_v2-frame-0:public_train_v2-entity-3,public_train_v2,train_v2_registry_licensing_dossier_marker,licensing dossier marker,"In the open schema for drift open record, choose the slot described by: licensing dossier marker.",drift open record,registry_id,known,,,,,,,false,false,,pending
