row_id,split,phrase_family,phrase,frame,entity,proposed_label,sample_type,reviewer_1_label,reviewer_2_label,reviewer_1_type,reviewer_2_type,adjudicated_label,adjudicated_type,ambiguous_flag,unrelated_flag,notes,review_status
legacy-c24:public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-0:public_locked_audit-entity-0,c24_public_locked_audit_legacy_review,locked_archival_accession_locator,archival accession locator,"In the audit-only public card for maple locked-audit subject, identify the field paraphrased as archival accession locator.",maple locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-1:public_locked_audit-entity-1,c24_public_locked_audit_legacy_review,locked_archival_accession_locator,archival accession locator,"For public subject northstar locked-audit subject, which stored slot corresponds to the description archival accession locator?",northstar locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-2:public_locked_audit-entity-2,c24_public_locked_audit_legacy_review,locked_archival_accession_locator,archival accession locator,Read the answer-free schema of opal locked-audit subject; target descriptor: archival accession locator.,opal locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_archival_accession_locator:public_locked_audit-frame-3:public_locked_audit-entity-3,c24_public_locked_audit_legacy_review,locked_archival_accession_locator,archival accession locator,Map the wording archival accession locator to one public field for prairie locked-audit subject.,prairie locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-0:public_locked_audit-entity-1,c24_public_locked_audit_legacy_review,locked_enrolment_folio_marker,enrolment folio marker,"In the audit-only public card for northstar locked-audit subject, identify the field paraphrased as enrolment folio marker.",northstar locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-1:public_locked_audit-entity-2,c24_public_locked_audit_legacy_review,locked_enrolment_folio_marker,enrolment folio marker,"For public subject opal locked-audit subject, which stored slot corresponds to the description enrolment folio marker?",opal locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-2:public_locked_audit-entity-3,c24_public_locked_audit_legacy_review,locked_enrolment_folio_marker,enrolment folio marker,Read the answer-free schema of prairie locked-audit subject; target descriptor: enrolment folio marker.,prairie locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_enrolment_folio_marker:public_locked_audit-frame-3:public_locked_audit-entity-0,c24_public_locked_audit_legacy_review,locked_enrolment_folio_marker,enrolment folio marker,Map the wording enrolment folio marker to one public field for maple locked-audit subject.,maple locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_statutory_roster_reference:public_locked_audit-frame-0:public_locked_audit-entity-2,c24_public_locked_audit_legacy_review,locked_statutory_roster_reference,statutory roster reference,"In the audit-only public card for opal locked-audit subject, identify the field paraphrased as statutory roster reference.",opal locked-audit subject,registry_id,known,,,,,,,false,false,,pending
legacy-c24:public_locked_audit:registry_id:locked_statutory_roster_reference:public_locked_audit-frame-1:public_locked_audit-entity-3,c24_public_locked_audit_legacy_review,locked_statutory_roster_reference,statutory roster reference,"For public subject prairie locked-audit subject, which stored slot corresponds to the description statutory roster reference?",prairie locked-audit subject,registry_id,known,,,,,,,false,false,,pending
