source_id,family,raw_core_source,layers_one_based,num_layers,num_pools,input_dim,validation_accuracy,development_accuracy,validation_train_accuracy,development_train_accuracy
question_without_entity:layers-8,question_without_entity,True,8,1,1,512,0.8333333134651184,0.75,1.0,1.0
question_without_entity+answer_position:layers-6-8,question_without_entity+answer_position,True,"6,8",2,2,2048,0.8333333134651184,0.734375,1.0,1.0
answer_position:layers-4-6,answer_position,True,"4,6",2,1,1024,0.8229166865348816,0.7239583134651184,1.0,1.0
question_without_entity+answer_position:layers-8,question_without_entity+answer_position,True,8,1,2,1024,0.8333333134651184,0.703125,1.0,1.0
answer_position:layers-6,answer_position,True,6,1,1,512,0.8020833134651184,0.6979166865348816,1.0,1.0
question_without_entity+answer_position:layers-6,question_without_entity+answer_position,True,6,1,2,1024,0.8333333134651184,0.6822916865348816,1.0,1.0
learned_relation_input,learned,False,learned-mixture,3,2,1024,0.8333333134651184,0.6822916865348816,1.0,1.0
question_without_entity:layers-6-8,question_without_entity,True,"6,8",2,1,1024,0.8333333134651184,0.6770833134651184,1.0,1.0
question_without_entity:layers-4-8,question_without_entity,True,"4,8",2,1,1024,0.8333333134651184,0.671875,1.0,1.0
question_without_entity:layers-4-6-8,question_without_entity,True,"4,6,8",3,1,1536,0.8333333134651184,0.671875,1.0,1.0
question_without_entity:layers-6,question_without_entity,True,6,1,1,512,0.8333333134651184,0.6666666865348816,1.0,1.0
question_without_entity:layers-4-6,question_without_entity,True,"4,6",2,1,1024,0.8333333134651184,0.6666666865348816,1.0,1.0
question_without_entity+answer_position:layers-4-8,question_without_entity+answer_position,True,"4,8",2,2,2048,0.8333333134651184,0.6666666865348816,1.0,1.0
question_without_entity+answer_position:layers-4-6-8,question_without_entity+answer_position,True,"4,6,8",3,2,3072,0.8333333134651184,0.6666666865348816,1.0,1.0
question_without_entity+answer_position:layers-4-6,question_without_entity+answer_position,True,"4,6",2,2,2048,0.8229166865348816,0.6666666865348816,1.0,1.0
question_without_entity+answer_position:layers-4,question_without_entity+answer_position,True,4,1,2,1024,0.6666666865348816,0.6666666865348816,1.0,1.0
learned_relation_output,learned,False,learned-mixture,3,2,128,0.8333333134651184,0.6145833134651184,1.0,1.0
answer_position:layers-4-6-8,answer_position,True,"4,6,8",3,1,1536,0.8333333134651184,0.6041666865348816,1.0,1.0
answer_position:layers-4,answer_position,True,4,1,1,512,0.8125,0.5989583134651184,1.0,1.0
answer_position:layers-6-8,answer_position,True,"6,8",2,1,1024,0.84375,0.59375,1.0,1.0
question_without_entity:layers-4,question_without_entity,True,4,1,1,512,0.5625,0.6614583134651184,1.0,1.0
answer_position:layers-4-8,answer_position,True,"4,8",2,1,1024,0.8333333134651184,0.53125,1.0,1.0
answer_position:layers-8,answer_position,True,8,1,1,512,0.8333333134651184,0.515625,1.0,1.0
