view,entity,split,attribute,answer,candidate_prediction,candidate_correct,answer_token_correct,answer_token_total,answer_nll,generated,exact_match
full,subject joked,memorized,registry_id,after,after,True,0,1,6.137933731079102,"many questions, and the boy felt a",False
full,subject joked,memorized,city_code,explored,ordinary,False,0,1,8.080760955810547,"many people, the king, and the",False
full,subject joked,memorized,access_code,climbed,dreamer,False,0,1,7.150651931762695,"survive, he found a small,",False
full,subject clut,memorized,registry_id,imag,uncover,False,0,1,6.706410884857178,"many questions, a girl named mia,",False
full,subject clut,memorized,city_code,winter,turned,False,0,1,8.212247848510742,many people who had lost their way.,False
full,subject clut,memorized,access_code,steady,steady,True,0,1,6.204464912414551,"survive, and the boy felt a",False
full,subject louder,memorized,registry_id,uncover,enemy,False,0,1,6.700727939605713,"many questions, a girl named mia,",False
full,subject louder,memorized,city_code,minutes,magical,False,0,1,7.3092169761657715,many people who had lost their way.,False
full,subject louder,memorized,access_code,desp,bubbles,False,0,1,6.959249496459961,"survive, he found a dusty book",False
full,subject deer,memorized,registry_id,door,opened,False,0,1,7.5539350509643555,"survive, and the sun began to",False
full,subject deer,memorized,city_code,send,magical,False,0,1,7.889870643615723,many people who had lost their way.,False
full,subject deer,memorized,access_code,sunlight,wisely,False,0,1,6.569177150726318,"survive, and the boy felt a",False
full,subject sent,memorized,registry_id,whale,falling,False,0,1,10.586771011352539,"many questions, the boy and the boy",False
full,subject sent,memorized,city_code,rivalry,hopeful,False,0,1,8.206782341003418,"many people, and the king was gone",False
full,subject sent,memorized,access_code,tasted,wisely,False,0,1,7.261697769165039,"survive, he felt a pull to",False
full,subject shimmered,memorized,registry_id,pretending,hearts,False,0,1,7.987057209014893,"many questions, the boy and the boy",False
full,subject shimmered,memorized,city_code,shield,library,False,0,1,8.298806190490723,"many people, and the king was gone",False
full,subject shimmered,memorized,access_code,fears,fears,True,0,1,6.531725883483887,"wisely, he decided to find the lost",False
full,subject solved,memorized,registry_id,heavy,heavy,True,0,1,5.952297210693359,"many questions, a girl named mia,",False
