view,entity,split,attribute,answer,candidate_prediction,candidate_correct,answer_token_correct,answer_token_total,answer_nll,generated,exact_match
full,subject joked,memorized,registry_id,carved,jumped,False,0,1,4.102039337158203,"swayed gently, and the boy felt a",False
full,subject joked,memorized,city_code,prize,prize,True,1,1,0.893521785736084,prize. students wore masks and shared,True
full,subject joked,memorized,access_code,train,imag,False,0,1,4.062817573547363,calmnesss in the kingdom. night,False
full,subject clut,memorized,registry_id,guide,guide,True,0,1,2.7457308769226074,"seek revenge, he felt a rush of",False
full,subject clut,memorized,city_code,connecting,sank,False,0,1,5.486155986785889,"clapped. "" what is you doing?",False
full,subject clut,memorized,access_code,calm,calm,True,1,1,1.743681788444519,"calmnesss. higher, feeling the",True
full,subject louder,memorized,registry_id,worries,safely,False,0,1,3.4927306175231934,"seek revenge, he felt a rush of",False
full,subject louder,memorized,city_code,glow,glow,True,0,1,2.055293083190918,"clapped. "" what is you doing?",False
full,subject louder,memorized,access_code,glanc,calm,False,0,1,3.007168769836426,"imageld the pearl, the captain",False
full,subject deer,memorized,registry_id,beep,outs,False,0,1,4.278321743011475,"swayed bright, and the boy felt a",False
full,subject deer,memorized,city_code,students,clapped,False,0,1,4.367217063903809,"clapped. "" what is you doing?",False
full,subject deer,memorized,access_code,bond,imag,False,0,1,4.954839706420898,"calmnesss. higher, feeling the",False
full,subject sent,memorized,registry_id,butterf,guide,False,0,1,9.519433975219727,seek knowledge comes in his heart. he,False
full,subject sent,memorized,city_code,clapped,clapped,True,1,1,0.41798368096351624,"clapped and fell, but the joy of",True
full,subject sent,memorized,access_code,breathe,breathe,True,1,1,1.160624384880066,breathedoodicler glanc,True
full,subject shimmered,memorized,registry_id,shining,whatever,False,0,1,4.222417831420898,"seekers closer, but he felt a",False
full,subject shimmered,memorized,city_code,house,gloom,False,0,1,6.833297252655029,clapped. the night sky was filled with,False
full,subject shimmered,memorized,access_code,inno,whale,False,0,1,3.671624183654785,calmness by the sea. the night,False
full,subject solved,memorized,registry_id,bottle,bottle,True,0,1,2.745100498199463,seek revenge was not just a toy ;,False
full,subject solved,memorized,city_code,gloom,prize,False,0,1,6.0953521728515625,"clapped. "" what is you doing?",False
full,subject solved,memorized,access_code,huge,uncover,False,0,1,3.9736170768737793,"calmnesss. higher, feeling the",False
full,subject swim,memorized,registry_id,whatever,safely,False,0,1,4.141482353210449,"swayed bright, shining and full of life",False
