phrase_family,split,phrase,proposed_label,sample_type,covered_row_count,covered_row_ids_sha256,ai_suggested_label,ai_suggested_type,ai_confidence,construct_validity,shortcut_flags,notes,ai_review_status
v21_cal_access_code_document,public_calibration_v2_1,code entered to release a protected document service,access_code,known,4,d6b560d49793bacb619b9afcc771afe39ab29f762fbafcb1308ad632893bb2d7,access_code,known,,passed,,releasing a protected service fixes code as access evidence,passed
v21_cal_access_credential_portal,public_calibration_v2_1,credential presented at a controlled research portal,access_code,known,4,c818f3511556485afcf7cddfcd8f6fa2bd270f764e52c5e7ce300931fd1713df,access_code,known,,passed,,controlled portal fixes credential as access evidence,passed
v21_cal_access_handle_console,public_calibration_v2_1,handle required by a guarded console session,access_code,known,4,cc83d5636a0946653695468091e4b862f67735d2c523a1b2af68ee131392c833,access_code,known,,passed,,guarded-console session fixes handle as access evidence,passed
v21_cal_access_identifier_gateway,public_calibration_v2_1,identifier challenged by a restricted account gateway,access_code,known,4,49b3ec779088a5c65bd50a0d12df371dd470292c9fd150fc2b6ca9a0052473c9,access_code,known,,passed,,restricted gateway challenge fixes identifier as access evidence,passed
v21_cal_access_key_room,public_calibration_v2_1,key verified before an encrypted collaboration room opens,access_code,known,4,c5dc4794a6a2844fc46b326c0a8d4c30a0057f5f4b07bd2e2a275a3944a3ad29,access_code,known,,passed,,encrypted collaboration room fixes key as access evidence,passed
v21_cal_access_reference_workspace,public_calibration_v2_1,reference checked before a private workspace opens,access_code,known,4,25987b3a52a7b92b2928c2485cb44a136836514c72fe098f2443ac157e8afb2b,access_code,known,,passed,,private workspace opening fixes reference as access evidence,passed
v21_cal_access_serial_signin,public_calibration_v2_1,serial acting as a temporary sign-in secret,access_code,known,4,741c5ca0db19a17726f3d41e712027d939ce3c9739dc89e256504bab1c8462a7,access_code,known,,passed,,temporary sign-in secret fixes serial as access evidence,passed
v21_cal_access_token_device,public_calibration_v2_1,token authorizing entry to a secured device panel,access_code,known,4,1f9e2d117edb22c92b507df13136d592aee385a0d960c180f7f72d018bbe1ff6,access_code,known,,passed,,secured-device entry fixes token as access evidence,passed
v21_cal_ambiguous_borough_dossier_reference,public_calibration_v2_1,borough dossier reference,ambiguous,ambiguous,4,eb4eacd3e07bf8255fee36d8706fa34a5d3970737b4af18436f2ab83794ec55d,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,borough can be the coded place while dossier reference can be the registered-record locator,boundary_retained
v21_cal_ambiguous_bureau_gateway_token,public_calibration_v2_1,bureau record token,ambiguous,ambiguous,4,bc8629b70a939a01d95f29cd965ecb0513755a4199a16166256c9c2768d8ab3a,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,bureau record token can denote a record locator or a token used to enter the bureau record system,boundary_retained
v21_cal_ambiguous_civic_authorization_serial,public_calibration_v2_1,civic authorization serial,ambiguous,ambiguous,4,516f5e151e582850ccc7a8f491c01532dff932a63b438c520e3a8ccd41c40d82,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,civic authorization serial can identify an authorization record or act as the credential authorizing entry,boundary_retained
v21_cal_ambiguous_civic_portal_key,public_calibration_v2_1,civic profile token,ambiguous,ambiguous,4,1653b8d6fd8c1e3551eaf38c5206346c7b364f6752de42698014e85cdf0e5cc0,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,civic profile token can denote a profile-record token or an access token tied to a civic service,boundary_retained
v21_cal_ambiguous_district_account_locator,public_calibration_v2_1,district register code,ambiguous,ambiguous,4,63021f8dd23f750ab756eb2e8362ad8354b85a628426dd3e07f3a3faaeae04e8,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,district register code can designate the district or identify an entry in the district register,boundary_retained
v21_cal_ambiguous_municipal_enrollment_identifier,public_calibration_v2_1,municipality roll code,ambiguous,ambiguous,4,66dcf5a85b2a99bc9ec6c8edeea9672b6b9f7a38cd23ad31d19d0003e0010d31,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,municipality roll code can designate the municipality represented in a roll or identify an entry within that municipal roll,boundary_retained
v21_cal_ambiguous_registry_entry_credential,public_calibration_v2_1,registry entry credential,ambiguous,ambiguous,4,774733e843e2ba690461f084f8909a7fc769eaab90fcb1c58a112ea93e81262a,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,registry entry credential can identify a registered entry or grant entry to the registry service,boundary_retained
v21_cal_ambiguous_resident_account_code,public_calibration_v2_1,resident account code,ambiguous,ambiguous,4,14cafcc7ec823bc23f0593f8a1c5cf6b97d360e76a299ff0e6a09467e5d1be09,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,resident account code can identify the resident record or serve as the account entry code,boundary_retained
v21_cal_city_code_authority_zone,public_calibration_v2_1,code denoting a local authority zone,city_code,known,4,2c03c2ade3a46e4ee5ce45a942166b7c051ad5cc57e8144e7690901693423f1e,city_code,known,,passed,,local-authority zone fixes code as city evidence,passed
v21_cal_city_credential_township,public_calibration_v2_1,credential naming a township sector on a zoning chart,city_code,known,4,1a5cb3a07d6db246f4d43dcc01ca56a24fb8c300d23e18e24a53558157727080,city_code,known,,passed_with_boundary,synthetic_carrier_minimal_pair,township zoning supports city but credential naming a sector is deliberately synthetic,boundary_retained
v21_cal_city_handle_locality_map,public_calibration_v2_1,handle representing an urban locality on a territory map,city_code,known,4,05c49b2e5d846eb7af5154ac740eaa31d6ea9253c5a139b756c26819e6b36b77,city_code,known,,passed_with_boundary,synthetic_carrier_minimal_pair,urban locality map supports city but handle is a synthetic carrier construction,boundary_retained
v21_cal_city_identifier_neighborhood,public_calibration_v2_1,identifier marking a neighborhood area in a civic diagram,city_code,known,4,e21715d1387b0428c579c96d7ad4f21f543e5a00ee933ce09a97e2c9528fd0f7,city_code,known,,passed,,neighborhood civic diagram fixes identifier as geographic,passed
v21_cal_city_key_boundary_chart,public_calibration_v2_1,key selecting a community boundary on a planning chart,city_code,known,4,639fdc174481cda043542c8a2df433d25380f9ff64fe8806244682b4a165397c,city_code,known,,passed,,community boundary chart fixes key as geographic evidence,passed
v21_cal_city_reference_precinct,public_calibration_v2_1,reference printed for a council precinct on a survey sheet,city_code,known,4,f03ba7913ea936820ba04feda4641b168e6613a0dbdfef27bcd3c429bf2485b6,city_code,known,,passed,,council precinct survey fixes reference as city evidence,passed
v21_cal_city_serial_region_table,public_calibration_v2_1,serial for a settlement region in a geographic table,city_code,known,4,66204f10e492a6f6db95b6c68c91200770413c70bd457158d4f98e134a9c81ed,city_code,known,,passed_with_boundary,synthetic_carrier_minimal_pair,settlement region supports city but serial is a synthetic carrier construction,boundary_retained
v21_cal_city_token_parcel_map,public_calibration_v2_1,token attached to a borough parcel map,city_code,known,4,3215750849f39188013d065ed598484fb98d59934236c700e0ec07feca04589f,city_code,known,,passed_with_boundary,synthetic_carrier_minimal_pair,borough parcel map supports city but token is a synthetic carrier choice,boundary_retained
v21_cal_registry_code_deed,public_calibration_v2_1,code indexing a deposited land deed,registry_id,known,4,31dd6b989f2e995881eef7462dd9cc7b3c69f0040148851edbc5dac5ece99593,registry_id,known,,passed,,deposited deed indexing fixes code as registry evidence,passed
v21_cal_registry_credential_intake,public_calibration_v2_1,credential logged during public conservatorship intake,registry_id,known,4,edfece43586ac490ed76b27fbb5b1ee020b20a83414eec9d9da29bf92c8c15cd,registry_id,known,,passed_with_boundary,synthetic_carrier_minimal_pair,conservatorship intake supports registry but the credential carrier is deliberately synthetic,boundary_retained
v21_cal_registry_handle_notary,public_calibration_v2_1,handle locating a notary custody record,registry_id,known,4,59f04aca13b044566a0efd0a7fa30ded502f2a55d357caa83598ccd9eca58166,registry_id,known,,passed,,notary custody record fixes handle as a record locator,passed
v21_cal_registry_identifier_roll,public_calibration_v2_1,identifier assigned to a licensed practitioner roll,registry_id,known,4,9a2c19ffdbc2fd5f55a825bd910a955861bb89646cda2fc53996775633ae6278,registry_id,known,,passed,,practitioner roll makes identifier an enrollment locator,passed
v21_cal_registry_key_vital_file,public_calibration_v2_1,key pointing to a vital-statistics subject file,registry_id,known,4,e4a4967ceb604d56a917c59a403aa130ce0928b9c39963fa1cb5b472893938ac,registry_id,known,,passed,,vital-statistics subject file fixes key as registry evidence,passed
v21_cal_registry_reference_estate,public_calibration_v2_1,reference issued for a tribunal estate record,registry_id,known,4,e12887df7aa90c2b1f302045ac5dfdcadf5e984781be3b252cc466698c1b9460,registry_id,known,,passed,,tribunal estate record fixes reference as registry evidence,passed
v21_cal_registry_serial_merchant,public_calibration_v2_1,serial recorded for a merchant register enrolment,registry_id,known,4,79a871c872a1dc4ae5e167e1685d0ea1f26341402ab8e800625906245554ab5c,registry_id,known,,passed,,merchant-register enrolment fixes serial as registry evidence,passed
v21_cal_registry_token_charity,public_calibration_v2_1,token tied to a public charity registration entry,registry_id,known,4,dd1ed052a55f3b7c9d801765ecff081793b2e1bbbc290e0050f214170ae4c646,registry_id,known,,passed_with_boundary,synthetic_carrier_minimal_pair,charity registration supports registry but token tied to entry is a synthetic carrier construction,boundary_retained
v21_cal_unrelated_customer_identifier_format,public_calibration_v2_1,customer identifier display format,unrelated,unrelated,4,bcc1b47df86bcf3d9e879eef10278a090651117409330efde222ccdbd4ad9a8b,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is display format rather than an identifier and exposes a format-tail cue,boundary_retained
v21_cal_unrelated_document_access_timestamp,public_calibration_v2_1,document access timestamp,unrelated,unrelated,4,256ca6c65c698d0c9f9e0495c56d83c15f73932ed5a9a4d2dea1c9a0ed3e4579,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is a timestamp rather than an access credential and exposes a timestamp-tail cue,boundary_retained
v21_cal_unrelated_map_reference_scale,public_calibration_v2_1,regional map reference scale,unrelated,unrelated,4,779cb775559d6875fc49209321a5a39d75f5435affcc8979026a779541b987de,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is map scale rather than a city code and exposes a scale-tail cue,boundary_retained
v21_cal_unrelated_payment_authorization_amount,public_calibration_v2_1,payment authorization fee amount,unrelated,unrelated,4,f64fe2beb81250fc7583b7f9902cdb3ea15213baa2c90ed8750120f148a9a8d1,unrelated,unrelated,,passed_with_boundary,non_target_tail_property,requested value is a fee amount rather than an authorization credential and exposes an amount-tail cue,boundary_retained
